<TagsetFile>
./tagset.dat
</TagsetFile>
<UnknownTags>
krašeno 2 APPNSN0 1 APPFSI0 1
navali 16 VMPP0PM0 15 VMPP0DF0 1
smelo 7 VMPP0SN0 7
prs 3 NCMSN0 3
mija 16 NPMSG0 2 NPMSAY 2 NCMSG0 2 NCFSN0 10
grajsko 5 AGPNSN0 1 AGPFSA0 3 AGPNSA0 1
leskop 3 NCMSN0 2 NCMSAN 1
zja 8 NCNSG0 7 NCNPA0 1
srečne 6 AGPFSG0 4 AGPMPA0 2
udirali 2 VMPP0PM0 1 VMEP0PM0 1
uše 16 NCFSG0 9 NCFPA0 1 NPFPN0 2 NCFPN0 4
italia 3 NPFSN0 3
površino 13 NCFSI0 2 NCFSA0 11
družinah 3 NCFPL0 3
vodov 17 ASPMSAN 1 NCMPG0 16
dežel 7 NCFPG0 7
ladujoči 2 APPMSAY 1 APPMPN0 1
krajno 10 AGPNSN0 1 AGPFSA0 2 RGP 7
režju 13 NCNSL0 13
joseph 4 NPMSN0 4
aljšanju 3 NCNSL0 2 NCNSD0 1
vršine 14 NCFSG0 7 NCFPA0 2 NCFPN0 5
hunskem 5 AGPMSL0 1 AGPNSL0 4
astonj 10 RGP 10
ažil 8 VMPP0SM0 4 VMEP0SM0 4
napadajo 3 VMPR3P00 3
ržnih 5 AGPMPG0 2 AGPFPL0 1 AGPFPG0 2
lec 221 NCMSN0 194 NPMSN0 10 NCMSAN 16 NPFSG0 1
klep 37 NCMSN0 14 NCMSAN 23
ganimi 5 APPFPI0 5
ozje 3 AGPFPN0 1 NCNSA0 1 NCNSN0 1
kcijskih 4 AGPMPG0 3 AGPFPG0 1
udanu 2 NPMSL0 2
mite 23 NPFSA0 1 VMBM2P00 1 NCMSN0 3 NCMPA0 2 VMEM2P00 13 NCMSAN 2 NPFSG0 1
njevanje 34 NCNSA0 23 NCNSN0 11
arinovem 2 ASPMSL0 2
okužb 2 NCFPG0 2
nhattna 2 NPMSG0 2
umrejo 3 VMER3P00 3
vedenja 11 NCNSG0 10 NCNPN0 1
peno 3 AGPFSI0 1 APPFSI0 1 APPFSA0 1
osterc 2 NPMSN0 2
brcali 2 VMEP0PM0 2
minskih 3 AGPMPG0 1 AGPNPG0 1 AGPFPG0 1
dega 18 AGPMSG0 9 AGPMSA0 2 AGPNSG0 7
dnevih 7 NCMPL0 7
polnjeno 3 APPNSN0 2 AGPFSA0 1
današnja 4 AGPFSN0 4
ošno 38 AGPNSN0 2 AGPFSI0 2 AGPFSA0 6 AGPNSA0 16 RGP 12
kovac 6 NPMSN0 6
olžno 6 AGPFSA0 2 AGPNSA0 1 RGP 3
vedbah 7 NCFPL0 7
opreme 45 NCFSG0 45
iložiti 3 VMEN0000 3
prskim 4 AGPFPD0 1 AGPMSI0 1 AGPNSI0 2
režice 8 NCFSG0 1 NPFPA0 1 NPFPN0 6
mikanju 3 NCNSL0 2 NCNSD0 1
