# ===============================================
#            Affixation rules file
# ===============================================

# === Each line is a affixation rule, with the following fields:
# 0 Affix to erase form word form (e.g: gatito - ito = gat)
# 2 Affix (* for emtpy string) to add to the resulting root
#   to rebuild the lemma that must be searched in dictionary 
#   (e.g:  gat+o = gato)
# 3 Regexp condition on the parole tag of found dictionary entry
# 4 Parole tag for suffixed word (* = keep tag in dictionary entry)
# 5 Check lemma adding accents
# 6 Enclitic suffix (special accent behaviour in Spanish)
# 7 Prevent later modules from assigning more tags to the word
# 8 Lemma to assign: F=original form, R=root found in dict, L=lemma in matching dict entry, 
#                    AF/AR/AL=affix followed by F/R/L, FA/RA/LA=F/R/L followed by affix
# 9 Consider the suffix always, not only for unknown words.
# 00 How to retokenize the word if necessary (see uer manual).
#==============================================================

<Prefixes>

# --- Prefixos patrimonials

-se-nos-la	*	^V	*	0	1	0	L	1	$$+-se+-nos+-la:$$+P0+PP+PP
-se-nos-les	*	^V	*	0	1	0	L	1	$$+-se+-nos+-les:$$+P0+PP+PP
-se-nos-ho	*	^V	*	0	1	0	L	1	$$+-se+-nos+-ho:$$+P0+PP+PP
-se-nos-hi	*	^V	*	0	1	0	L	1	$$+-se+-nos+-hi:$$+P0+PP+PP
-se-nos-en	*	^V	*	0	1	0	L	1	$$+-se+-nos+-en:$$+P0+PP+PP
-se-nos-el	*	^V	*	0	1	0	L	1	$$+-se+-nos+-el:$$+P0+PP+PP
-se-nos-els	*	^V	*	0	1	0	L	1	$$+-se+-nos+-els:$$+P0+PP+PP
-se-us-la	*	^V	*	0	1	0	L	1	$$+-se+-us+-la:$$+P0+PP+PP
-se-us-les	*	^V	*	0	1	0	L	1	$$+-se+-us+-les:$$+P0+PP+PP
-se-us-el	*	^V	*	0	1	0	L	1	$$+-se+-us+-el:$$+P0+PP+PP
-se-us-ho	*	^V	*	0	1	0	L	1	$$+-se+-us+-ho:$$+P0+PP+PP
-se-us-hi	*	^V	*	0	1	0	L	1	$$+-se+-us+-hi:$$+P0+PP+PP
-se-us-en	*	^V	*	0	1	0	L	1	$$+-se+-us+-en:$$+P0+PP+PP
-se-us-els	*	^V	*	0	1	0	L	1	$$+-se+-us+-els:$$+P0+PP+PP
-la-hi	*	^V	*	0	1	0	L	1	$$+-la+-hi:$$+PP+PP
-la'n	*	^V	*	0	1	0	L	1	$$+-la+'n:$$+PP+PP
-l'en	*	^V	*	0	1	0	L	1	$$+-l+'en:$$+PP+PP
-les-en	*	^V	*	0	1	0	L	1	$$+-les+-en:$$+PP+PP
-les-hi	*	^V	*	0	1	0	L	1	$$+-les+-hi:$$+PP+PP
-l'hi	*	^V	*	0	1	0	L	1	$$+-l+'hi:$$+PP+PP
-li-ho	*	^V	*	0	1	0	L	1	$$+-li+-ho:$$+PP+PP
-li'n	*	^V	*	0	1	0	L	1	$$+-li+'n:$$+PP+PP
-los-el	*	^V	*	0	1	0	L	1	$$+-los+-el:$$+PP+PP
-los-els	*	^V	*	0	1	0	L	1	$$+-los+-els:$$+PP+PP
