sixty-second 62 JJ
sixty-second sixty-second NN
sixty-seconds sixty-second NNS
sixty-third 63 JJ
sixty-third sixty-third NN
sixty-thirds sixty-third NNS
sixty-fourth 64 JJ
sixty-fourth sixty-fourth NN
sixty-fourths sixty-fourth NNS
sixty-fifth 65 JJ
sixty-fifth sixty-fifth NN
sixty-fifths sixty-fifth NNS
sixty-sixth 66 JJ
sixty-sixth sixty-sixth NN
sixty-sixths sixty-sixth NNS
sixty-seventh 67 JJ
sixty-seventh sixty-seventh NN
sixty-sevenths sixty-seventh NNS
sixty-eighth 68 JJ
sixty-eighth sixty-eighth NN
sixty-eighths sixty-eighth NNS
sixty-ninth 69 JJ
sixty-ninth sixty-ninth NN
sixty-ninths sixty-ninth NNS
seventieth 70 JJ
seventieth seventieth NN
seventieths seventieth NNS
seventy-first 71 JJ
seventy-first seventy-first NN
seventy-firsts seventy-first NNS
seventy-second 72 JJ
seventy-second seventy-second NN
seventy-seconds seventy-second NNS
seventy-third 73 JJ
seventy-third seventy-third NN
seventy-thirds seventy-third NNS
seventy-fourth 74 JJ
seventy-fourth seventy-fourth NN
seventy-fourths seventy-fourth NNS
seventy-fifth 75 JJ
seventy-fifth seventy-fifth NN
seventy-fifths seventy-fifth NNS
seventy-sixth 76 JJ
seventy-sixth seventy-sixth NN
seventy-sixths seventy-sixth NNS
seventy-seventh 77 JJ
seventy-seventh seventy-seventh NN
seventy-sevenths seventy-seventh NNS
seventy-eighth 78 JJ
seventy-eighth seventy-eighth NN
seventy-eighths seventy-eighth NNS
seventy-ninth 79 JJ
seventy-ninth seventy-ninth NN
seventy-ninths seventy-ninth NNS
eightieth 80 JJ
eightieth eightieth NN
eightieths eightieth NNS
eighty-first 81 JJ
eighty-first eighty-first NN
eighty-firsts eighty-first NNS
eighty-second 82 JJ
eighty-second eighty-second NN
eighty-seconds eighty-second NNS
eighty-third 83 JJ
eighty-third eighty-third NN
eighty-thirds eighty-third NNS
eighty-fourth 84 JJ
eighty-fourth eighty-fourth NN
eighty-fourths eighty-fourth NNS
eighty-fifth 85 JJ
eighty-fifth eighty-fifth NN
eighty-fifths eighty-fifth NNS
eighty-sixth 86 JJ
eighty-sixth eighty-sixth NN
eighty-sixths eighty-sixth NNS
eighty-seventh 87 JJ
eighty-seventh eighty-seventh NN
eighty-sevenths eighty-seventh NNS
eighty-eighth 88 JJ
eighty-eighth eighty-eighth NN
eighty-eighths eighty-eighth NNS
eighty-ninth 89 JJ
eighty-ninth eighty-ninth NN
eighty-ninths eighty-ninth NNS
ninetieth 90 JJ
ninetieth ninetieth NN
ninetieths ninetieth NNS
ninety-first 91 JJ
ninety-first ninety-first NN
ninety-firsts ninety-first NNS
